HEROP_ID,FIPS,SviSmryRnk,SviTh1,SviTh2,SviTh3,SviTh4,EssnWrkP,HghRskP,HltCrP,RetailP,TotWrkE,GiniCoeff,MedInc,PciE,PovP,UnempP,LngTermP,MobileP,RentalP,TotUnits,UnitDens,VacantP,FqhcAvTmDr,FqhcCtTmDr,FqhcTmDrP,TotTracts,OpRxRt,BachelorsP,EduHsP,EduNoHsP,EngProf,GradSclP,SomeCollegeP,CrowdHsng,DivrcdP,FamSize,HHSize,HhldFA,HhldFC,HhldFS,HhldMA,HhldMC,HhldMS,HsdTot,HsdTypCo,HsdTypM,HsdTypMC,MrrdP,NonRelFhhP,NonRelNfhhP,NvMrrdP,OccupantP,SepartedP,TotPopHh,WidwdP,DisbP,FemP,MaleP,MedAge,Ovr16,Ovr16P,Ovr18,Ovr18P,Ovr21,Ovr21P,Ovr62P,Ovr65,Ovr65P,SRatio,SRatio18,SRatio65,TotPop,Und18P,AmIndE,AmIndP,AsianE,BlackE,BlackP,HisE,HisP,OtherE,OtherP,PacIsE,PacIsP,TwoRaceE,TwoRaceP,WhiteE,WhiteP,DsmAs,DsmBlk,DsmHsp,IntrAsWht,IntrBlkWht,IntrHspWht,IsoAs,IsoBlk,IsoHsp,TotVetPop,VetP
050US13031,13031,0.8374,0.9297,0.2326,0.7521,0.8781,49.9,18.0,10.1,12.3,36964,0.4849,35840,30450,22.5,7.9,14.2,15.4,111.0,33607,49.7,9.9,10.51,20,100.0,20,72.4,18.6,28.6,10.4,0.007,12.2,21.5,0.01,9.0,3.05,2.48,15.3,6.6,6.1,14.0,0.9,3.9,30276.0,7.4,37.0,14.9,37.2,7.0,10.3,49.5,90.1,1.6,75146,2.7,14.8,51.5,48.5,30.2,66867.0,82.2,64967.0,79.8,50293.0,66.8,14.8,9836.0,12.1,94.3,94.1,83.5,81372,20.2,323.0,0.4,1180.0,23003.0,28.3,4105.0,5.0,1128.0,1.4,30.0,0.0,4625.0,5.7,51083.0,62.8,0.42,0.34,0.3,0.65,0.53,0.61,0.03,0.37,0.07,64920,5.8
050US13121,13121,0.6599,0.5571,0.2278,0.9259,0.8501,27.6,10.5,10.2,9.0,569609,0.5296,61045,61438,12.9,5.4,11.5,0.5,93.5,500404,950.1,8.5,7.07,326,99.69,327,61.1,33.6,15.4,6.4,0.019,24.4,14.4,0.02,8.9,3.12,2.26,21.0,6.1,6.5,17.4,1.1,3.0,457791.0,6.6,34.9,14.3,41.4,6.8,3.9,46.4,91.5,1.3,1036112,2.0,10.2,51.4,48.6,36.2,869503.0,81.4,842905.0,78.9,726211.0,74.7,15.7,132189.0,12.4,94.7,92.6,74.0,1068507,21.1,2680.0,0.3,81115.0,460766.0,43.1,86110.0,8.1,33908.0,3.2,299.0,0.0,69252.0,6.5,420487.0,39.4,0.47,0.71,0.44,0.46,0.15,0.38,0.23,0.72,0.18,841821,4.7
050US13179,13179,0.9007,0.8167,0.8431,0.9322,0.86,50.8,14.8,12.5,14.0,23579,0.4089,36864,27648,14.5,8.0,12.3,16.7,139.0,27228,52.7,14.0,11.77,16,94.12,17,27.5,13.5,31.7,8.0,0.011,6.4,28.6,0.02,9.3,3.39,2.75,12.2,8.6,4.4,15.1,1.7,2.6,23406.0,6.8,45.8,18.9,47.3,7.4,2.0,38.0,86.0,3.5,64336,1.9,15.9,48.4,51.6,28.7,49840.0,74.6,48332.0,72.3,41973.0,66.9,12.4,6558.0,9.8,106.5,107.3,81.5,66826,27.7,310.0,0.5,1191.0,28654.0,42.9,8298.0,12.4,2140.0,3.2,295.0,0.4,7686.0,11.5,26550.0,39.7,0.38,0.27,0.28,0.34,0.34,0.36,0.03,0.46,0.16,40874,19.7
050US13189,13189,0.6567,0.7353,0.5002,0.854,0.4076,54.9,25.2,15.5,11.9,9334,0.4515,36134,28071,19.0,3.7,28.8,27.8,94.4,9466,36.8,12.3,19.81,6,100.0,6,52.2,11.2,40.4,14.5,0.001,6.6,18.6,0.01,10.8,3.12,2.58,16.0,12.8,5.8,10.5,1.3,3.3,8298.0,4.3,41.5,10.5,46.2,7.6,2.8,37.8,87.7,2.2,21421,3.0,12.4,50.7,49.3,39.1,16947.0,78.1,16263.0,75.0,14025.0,70.8,22.6,4004.0,18.5,97.1,85.3,72.1,21687,25.0,0.0,0.0,96.0,8911.0,41.1,777.0,3.6,253.0,1.2,0.0,0.0,495.0,2.3,11932.0,55.0,0.75,0.34,0.37,0.8,0.46,0.56,0.03,0.5,0.07,16263,8.1
050US13213,13213,0.6847,0.7852,0.6061,0.525,0.4909,54.6,41.6,8.3,12.0,18970,0.4337,41999,30205,13.0,5.0,19.1,28.9,68.5,16163,46.9,5.6,12.37,9,90.0,10,28.3,8.8,35.1,21.3,0.026,4.9,21.9,0.03,10.5,3.0,2.62,12.0,4.3,6.6,8.0,2.2,2.9,15258.0,5.4,55.8,21.2,56.7,8.2,1.8,28.1,94.4,1.6,39993,3.1,13.3,49.9,50.1,39.3,31927.0,79.3,30663.0,76.1,26256.0,72.2,19.1,5997.0,14.9,100.5,98.4,82.1,40282,23.9,337.0,0.8,151.0,246.0,0.6,6287.0,15.6,1556.0,3.9,136.0,0.3,2700.0,6.7,35156.0,87.3,0.55,0.71,0.35,0.8,0.77,0.73,0.01,0.03,0.23,30628,5.0
050US13209,13209,0.7547,0.8858,0.5756,0.7191,0.4518,57.4,30.2,14.6,9.4,3565,0.4652,41019,27633,16.4,6.1,23.7,37.9,55.7,3776,15.7,20.0,8.41,3,100.0,3,0.2,10.8,37.3,14.7,0.021,9.5,16.9,0.01,10.0,3.18,2.59,14.7,7.8,9.2,14.2,1.5,5.8,3021.0,4.7,49.1,14.0,48.1,8.2,1.5,37.7,80.0,0.9,7827,3.3,14.0,48.4,51.6,38.2,7071.0,81.5,6898.0,79.5,5695.0,71.6,21.8,1512.0,17.4,106.4,104.6,81.7,8675,20.5,14.0,0.2,53.0,1991.0,23.0,618.0,7.1,349.0,4.0,0.0,0.0,401.0,4.6,5867.0,67.6,0.28,0.45,0.13,0.61,0.54,0.66,0.01,0.32,0.07,6895,5.6
050US13139,13139,0.8136,0.7897,0.664,0.7941,0.7416,48.3,28.9,10.0,11.1,99845,0.4493,41391,37271,12.7,3.9,13.6,8.4,89.4,79233,201.6,10.1,10.97,50,100.0,50,79.0,16.7,27.7,18.6,0.08,10.0,19.3,0.05,8.6,3.37,2.89,12.8,4.5,6.7,8.9,1.3,3.0,71263.0,5.8,55.6,21.7,55.3,9.7,3.1,32.3,89.9,1.5,206163,2.2,11.7,50.1,49.9,38.2,163982.0,78.7,158032.0,75.8,135491.0,71.7,19.7,33285.0,16.0,99.6,97.8,84.0,208395,24.2,896.0,0.4,4351.0,14159.0,6.8,59586.0,28.6,17409.0,8.4,15.0,0.0,31113.0,14.9,140452.0,67.4,0.47,0.45,0.48,0.57,0.5,0.42,0.05,0.11,0.45,157766,6.2
050US13245,13245,0.9513,0.9513,0.7324,0.9494,0.9061,53.4,18.0,16.3,12.3,86611,0.4866,35067,30209,21.1,7.9,18.6,6.5,122.3,92652,285.7,19.0,6.99,55,98.21,56,89.9,14.7,31.8,12.1,0.005,9.4,22.3,0.01,12.5,3.43,2.62,19.5,12.0,8.2,15.5,1.3,4.2,75023.0,5.4,31.1,9.1,33.6,9.3,5.4,49.2,81.0,2.3,196186,2.5,19.1,51.6,48.4,35.0,163638.0,79.4,158585.0,77.0,137391.0,71.9,18.6,30664.0,14.9,93.8,89.8,73.8,206040,23.0,251.0,0.1,3687.0,115506.0,56.1,11627.0,5.6,5171.0,2.5,372.0,0.2,12304.0,6.0,68749.0,33.4,0.45,0.45,0.44,0.43,0.24,0.32,0.05,0.65,0.11,151216,11.5
050US13049,13049,0.8855,0.9889,0.2262,0.776,0.8559,70.5,28.0,8.1,12.8,4848,0.4615,32408,24015,22.5,10.1,22.4,37.1,50.0,4708,6.0,13.2,18.73,2,66.67,3,58.6,8.4,43.7,14.8,0.017,3.0,24.9,0.03,13.4,3.71,2.94,13.4,4.1,6.1,14.8,0.0,3.7,4086.0,8.5,41.6,14.8,34.5,9.5,3.4,48.2,86.8,1.9,12004,2.0,19.8,42.0,58.0,38.0,10745.0,84.5,10209.0,80.3,8487.0,72.9,18.8,1872.0,14.7,138.0,147.8,104.6,12711,19.7,75.0,0.6,108.0,3183.0,25.0,1967.0,15.5,199.0,1.6,0.0,0.0,1918.0,15.1,7228.0,56.9,0.66,0.3,0.46,0.5,0.53,0.55,0.02,0.35,0.32,10168,8.4
050US13141,13141,0.9666,0.9806,0.6828,0.9733,0.9345,61.5,27.4,14.0,18.7,2259,0.5086,34455,19305,31.5,5.9,36.0,44.1,62.4,4945,10.5,42.3,10.53,2,100.0,2,9.9,5.7,39.4,26.1,0.003,2.7,18.9,0.0,6.3,3.17,2.48,20.2,6.0,11.0,13.0,0.0,6.1,2852.0,3.0,43.1,6.2,31.0,12.7,4.0,54.5,57.7,2.1,7084,6.1,23.4,47.1,52.9,47.3,7499.0,86.9,7327.0,84.9,6452.0,81.6,27.4,2127.0,24.6,112.4,132.3,87.4,8630,15.1,19.0,0.2,47.0,6161.0,71.4,55.0,0.6,36.0,0.4,0.0,0.0,87.0,1.0,2280.0,26.4,0.44,0.2,0.44,0.21,0.25,0.21,0.01,0.72,0.01,7327,5.8
