"","GEOID","totalPop","hispanicPr","whitePr","blackPr","asianPr"
"1","17001",64754,0.0208481329338728,0.906059857306112,0.0283997899743645,0.0067177317231368
"2","17003",4875,0.00676923076923077,0.629538461538461,0.33148717948718,0.00430769230769231
"3","17005",16716,0.0201005025125628,0.866714525005982,0.0611988513998564,0.00658052165589854
"4","17007",53230,0.256453127935375,0.717659214728537,0.0304903250046966,0.00959984970881082
"5","17009",6322,0.067067383739323,0.74517557734894,0.179057260360645,0.000474533375514078
"6","17011",32866,0.102142031278525,0.874551207935252,0.00587233006754701,0.00873242864966835
"7","17013",4330,0.00831408775981524,0.94364896073903,0.0147806004618938,0
"8","17015",15576,0.0526450950179764,0.900552131484335,0.0403184386235234,0.00802516692347201
"9","17017",12784,0.229114518147685,0.7479662077597,0.0397371714643304,0.00915206508135169
"10","17019",208741,0.0826335027617957,0.642058819302389,0.134515979132034,0.114486373065186
"11","17021",33538,0.0331564195837557,0.920836066551375,0.0218856222792057,0.00736478024926949
"12","17023",15266,0.0186689375081881,0.952443338137037,0.00458535307218656,0.00124459583387921
"13","17025",13052,0.0202267851670242,0.952421084891204,0.00291143119828379,0.00214526509347226
"14","17027",36954,0.0409157330735509,0.908805542025221,0.0314986199058289,0.00625101477512583
"15","17029",46777,0.0386728520426705,0.897043418774184,0.0357013061974902,0.0133398892618167
"16","17031",5182090,0.267684081133288,0.435718021107314,0.22154497509692,0.0794617615672441
"17","17033",18511,0.0265247690562368,0.905569661282481,0.0343579493274269,0.00243098698071417
"18","17035",10334,0.00367718211728276,0.949970969614864,0.00174182310818657,0.000387071801819237
"19","17037",100703,0.145447504046553,0.741566785497949,0.0700674259952534,0.0231472746591462
"20","17039",15373,0.0351265205229949,0.932739218109673,0.0109282508293762,0.0019514733623886
"21","17041",19751,0.0846539415725786,0.886638651207534,0.0142777580881981,0.00415168852210015
"22","17043",930024,0.160784022777907,0.647884355672542,0.0495578608724076,0.130248251658022
"23","17045",16535,0.0152403991533112,0.95935893559117,0.00653159963713335,0.00284245539764137
"24","17047",6075,0.0146502057613169,0.952592592592593,0.000987654320987654,0.00362139917695473
"25","17049",34522,0.0276635189154742,0.957708128150165,0.00292567058687214,0.0086032095475349
"26","17051",21315,0.030494956603331,0.888388458831809,0.0324653999530847,0.00154820548909219
"27","17053",13406,0.0527375801879755,0.903401462031926,0.00529613605848128,0.00410264060868268
"28","17055",37323,0.020255606462503,0.947056774642982,0.00412614205717654,0.0035099000616242
"29","17057",33020,0.0251362810417929,0.924227740763174,0.0292549969715324,0.00302846759539673
"30","17059",4819,0.0118281801203569,0.96181780452376,0.0112056443245487,0.00767794148163519
"31","17061",11683,0.0109560900453651,0.958486690062484,0.00753231190618848,0.00522126166224429
"32","17063",53219,0.11965651365114,0.863094007779177,0.0229241436329131,0.00565587478156298
"33","17065",7916,0.00720060636685195,0.952627589691764,0.00214754926730672,0.00517938352703386
"34","17067",17281,0.0229732075690064,0.94224871245877,0.00740697876280308,0.00358775533823274
"35","17069",3605,0.00915395284327323,0.964493758668516,0.0135922330097087,0
"36","17071",6193,0.0122719199095753,0.940416599386404,0.00306797997739383,0.00177619893428064
"37","17073",48643,0.0691980346606912,0.879468782764221,0.010998499270193,0.00522171741052155
"38","17075",26449,0.0826874361979659,0.887784037203675,0.00805323452682521,0.00336496653937767
"39","17077",53064,0.0529737675260063,0.728214985677672,0.139868837630032,0.0371249811548319
"40","17079",9180,0.0133986928104575,0.968627450980392,0.000762527233115468,0.00130718954248366
"41","17081",36550,0.0281805745554036,0.839589603283174,0.0621614227086183,0.0102872777017784
"42","17083",21274,0.0159819497978753,0.949374823728495,0.00554667669455674,0.00672182006204757
"43","17085",21851,0.0417372202645188,0.935151709303922,0.00759690632007688,0.00540021051668116
"44","17087",13376,0.0446321770334928,0.805322966507177,0.0779754784688995,0.00246710526315789
"45","17089",517255,0.333922340045046,0.580365583706296,0.0496099602710462,0.0411209171491817
"46","17091",106635,0.126815773432738,0.733999155999437,0.14315187321236,0.0100060955596193
"47","17093",137675,0.224238242237153,0.652732885418558,0.0767968040675504,0.0362956237515889
"48","17095",49046,0.0644497002813685,0.819190148024304,0.0807813073441259,0.0125800269135098
"49","17097",714223,0.248705236319749,0.612287758865228,0.0667046566688555,0.0870344416239746
"50","17099",108714,0.111862317640782,0.855014073624372,0.0257188586566588,0.00837978549220891
"51","17101",15031,0.0214889228926884,0.839664692967866,0.0620051892754973,0.00459051293992416
"52","17103",33869,0.075703445628746,0.857982225634061,0.0530868936195341,0.00717470253033748
"53","17105",35565,0.0582032897511598,0.890650920849149,0.033994095318431,0.0067200899761001
"54","17107",27713,0.0348572871937358,0.870927001768123,0.053837549164652,0.00469093927037852
"55","17109",26920,0.0350668647845468,0.863521545319465,0.0580237741456166,0.0210252600297177
"56","17111",312591,0.16073079519244,0.79538438406736,0.0152115703907022,0.0312229078892227
"57","17113",171556,0.0644804029005106,0.779844482268181,0.08526078947982,0.0525018069901373
"58","17115",101849,0.0286208013824387,0.742432424471522,0.16251509587723,0.0153560663334937
"59","17117",44350,0.0137091319052988,0.939255918827508,0.0147463359639233,0.00293122886133033
"60","17119",264238,0.0431391397149539,0.830361265223019,0.0782097957144695,0.00849612849022472
"61","17121",37000,0.0219459459459459,0.89945945945946,0.0296486486486486,0.0072972972972973
"62","17123",11647,0.0351163389714089,0.928307718725852,0.00403537391602988,0.000858590194899974
"63","17125",12745,0.0160847391133778,0.94609650843468,0.0075323656335818,0.00408003138485681
"64","17127",13865,0.0286332491886044,0.86332491886044,0.0673638658492607,0.00281283808150018
"65","17129",12095,0.0168664737494833,0.948491112029764,0.0052087639520463,0.00256304257957834
"66","17131",15495,0.0344627299128751,0.941529525653437,0.00600193610842207,0.00361406905453372
"67","17133",35036,0.0194942345016554,0.960183810937322,0.00590820869962324,0.00596529284164859
"68","17135",27942,0.0217951470904015,0.927313721279794,0.033140075871448,0.00393672607544199
"69","17137",33021,0.02928439477908,0.876745101602011,0.0490294055298144,0.00835831743435995
"70","17139",14424,0.016708264004437,0.953480310593455,0.0103993344425957,0.000554631170271769
"71","17141",51495,0.119312554616953,0.856063695504418,0.0123507136615205,0.0057092921642878
"72","17143",179645,0.0601130006401514,0.672943861504634,0.173369701355451,0.0462133652481283
"73","17145",20639,0.0368234895101507,0.854886380154077,0.0762149328940356,0.00358544503125151
"74","17147",16695,0.0162324049116502,0.949985025456724,0.0143755615453729,0.00634920634920635
"75","17149",14469,0.020595756444813,0.954316124127445,0.00601285506945884,0.00283364434307831
"76","17151",3739,0.0296870821075154,0.888740304894357,0.0478737630382455,0.000267451190157796
"77","17153",5015,0.0103688933200399,0.619341974077767,0.337786640079761,0.00159521435692921
"78","17155",5601,0.0657025531155151,0.912872701303339,0.00339225138368149,0.00749866095340118
"79","17157",30058,0.0381595581875042,0.857874775434161,0.083072726062945,0.00562246323774037
"80","17159",15598,0.019810232081036,0.937940761636107,0.0043595332734966,0.00544941659187075
"81","17161",142757,0.142234706529277,0.715019228479164,0.113969892894919,0.0276203618736734
"82","17163",253694,0.0506831064195448,0.601208542574913,0.278784677603727,0.0164528920668207
"83","17165",23213,0.0216258131219575,0.917244647395856,0.0309740231766682,0.00547107224400121
"84","17167",194947,0.0293464377497474,0.781463679871965,0.127044786531724,0.0228985313957127
"85","17169",6787,0.0268159717106232,0.916752615293944,0.0374244879917489,0.00648298217179903
"86","17171",4937,0.0162041725744379,0.955843629734657,0.0117480251164675,0.00445614745797043
"87","17173",20720,0.0122586872586873,0.965492277992278,0.00217181467181467,0.00183397683397683
"88","17175",5308,0.0286360211002261,0.917294649585531,0.0124340617935192,0.00847776940467219
"89","17177",43768,0.056136903673917,0.795786876256626,0.0863416194479985,0.0082480350941327
"90","17179",130290,0.026886176989792,0.931284058638422,0.0161255660449766,0.00984726379614706
"91","17181",16997,0.0548332058598576,0.894863799494028,0.0094722598105548,0.0063540624816144
"92","17183",72386,0.05578426767607,0.779791672422844,0.147804824137264,0.00884148868565745
"93","17185",11119,0.0214947387354978,0.936774889828222,0.00620559402823995,0.0162784423059628
"94","17187",16447,0.110658478749924,0.828357755213717,0.0266309965343224,0.0240165379704505
"95","17189",13627,0.0159242679973582,0.951640126220004,0.0148235121450062,0.00234827915168416
"96","17191",15973,0.0206598635196895,0.951543229199274,0.00400676140987917,0.00607274776184812
"97","17193",13619,0.0162273294661869,0.956751597033556,0.00572729275277186,0.00256993905573096
"98","17195",54947,0.133201084681602,0.851165668735327,0.0125757548182794,0.00529601252115675
"99","17197",701462,0.197734160938155,0.623306750757703,0.118418389021786,0.0638737379929348
