HEROP_ID,FIPS,FqhcAvTmDr,FqhcCtTmDr,FqhcTmDrP,TotTracts,A50_74HcvD,AmInHcvD,AsHcvD,AvA50_74HcvD,AvAmInHcvD,AvBlkHcvD,AvFlHcvD,AvHcvD,AvHspHcvD,AvMlHcvD,AvO75HcvD,AvU50HcvD,MdMarijLaw,AnyPdmpDt,AnyPdmpFr,AnyPdmphDt,AnyPdmphFr,ElcPdmpDt,ElcPdmpFr,MsAcPdmpDt,MsAcPdmpFr,OpPdmpDt,OpPdmpFr,CrrctExp,ExpnFedExp,ExpnSttExp,HlthExp,MedcdExp,PlcFyrExp,TradFedExp,TradSttExp,WlfrExp,BachelorsP,EduHsP,EduNoHsP,EngProf,GradSclP,SomeCollegeP,FemP,MaleP,Ovr16,Ovr16P,Ovr18,Ovr18P,Ovr21,Ovr21P,Ovr65,Ovr65P,SRatio,SRatio18,SRatio65,TotPop,AmIndE,AmIndP,AsianE,AsianP,BlackE,BlackP,HisE,HisP,OtherE,OtherP,PacIsE,PacIsP,TwoRaceE,TwoRaceP,WhiteE,WhiteP,DsmAs,DsmBlk,DsmHsp,IntrAsWht,IntrBlkWht,IntrHspWht,IsoAs,IsoBlk,IsoHsp
040US35,35,,,,612,92,,,131.0,7.0,,40.0,159.0,88.0,119.0,,1.0,True,7/15/2004,1.0,7/1/2004,1.0,7/15/2004,1.0,9/28/2012,1.0,8/1/2005,1.0,6359956,2026725000,211870300,4692974,8173504300,1214640,4739079800,1195829200,10049039,16.59,25.73,12.28,91.34,13.61,19.47,50.33,49.67,1705686.0,80.66,1648151.0,77.94,1443310.0,68.25,397156.0,18.78,98.68,97.27,85.51,2114768,201346.0,9.52,36065.0,1.71,44709.0,2.11,1018321.0,48.15,253794.0,12.0,2049.0,0.1,442934.0,20.94,1133871.0,53.62,0.42,0.39,0.24,0.36,0.38,0.37,0.03,0.03,0.53
040US46,46,,,,242,10,15,0.0,6.0,2.0,,0.0,33.0,0.0,25.0,,,True,3/29/2010,1.0,3/1/2010,1.0,7/1/2010,1.0,,0.0,3/1/2012,1.0,783784,11769600,960000,316744,1167718100,369042,786090500,368898000,1731185,21.52,29.48,6.99,97.9,9.58,17.07,49.33,50.67,704344.0,78.33,679374.0,75.55,595134.0,66.19,158103.0,17.58,102.71,102.18,89.35,899194,69514.0,7.73,12554.0,1.4,20149.0,2.24,41281.0,4.59,12547.0,1.4,606.0,0.07,50789.0,5.65,733035.0,81.52,0.24,0.28,0.19,0.53,0.61,0.74,0.01,0.01,0.04
040US06,6,,,,,1407,22,87.0,1703.0,32.0,246.0,605.0,2085.0,645.0,1479.0,263.0,108.0,True,1/1/1939,1.0,1/1/1990,1.0,1/1/1998,1.0,10/2/2018,1.0,9/1/2009,1.0,112801895,28775203200,3268018800,76926071,122791744500,35511690,50713624800,40034897800,167181476,22.4,20.4,15.4,82.72,14.1,18.18,50.04,49.96,31545603.0,80.39,30513773.0,77.76,26488214.0,67.5,5994486.0,15.28,99.84,98.16,82.11,39242785,445219.0,1.13,5997069.0,15.28,2173343.0,5.54,15630830.0,39.83,6820303.0,17.38,147827.0,0.38,6410245.0,16.33,17248779.0,43.95,0.41,0.52,0.33,0.47,0.45,0.45,0.13,0.07,0.4
040US21,21,,,,1376,218,,0.0,219.0,,34.0,88.0,302.0,,213.0,,62.0,False,7/15/1998,1.0,7/1/1998,1.0,7/15/1998,1.0,7/20/2012,1.0,7/1/1999,1.0,6670160,5189196600,578826600,4620478,16172800500,1636492,8031034100,2373743200,16877514,15.91,32.71,11.47,97.31,11.08,16.81,50.48,49.52,3605426.0,79.93,3487979.0,77.33,3028981.0,67.15,767995.0,17.03,98.11,95.74,81.51,4510725,7610.0,0.17,68482.0,1.52,355237.0,7.88,212163.0,4.7,67198.0,1.49,3737.0,0.08,233880.0,5.18,3774581.0,83.68,0.52,0.45,0.4,0.76,0.84,0.86,0.02,0.07,0.06
040US01,1,,,,,122,,0.0,132.0,,48.0,46.0,161.0,,115.0,,,True,8/1/2004,1.0,11/1/2005,1.0,8/1/2004,1.0,3/9/2017,1.0,4/1/2006,1.0,12533999,,,10626825,7876301100,2145358,6115858000,1760443100,9596296,16.96,30.34,11.87,97.64,10.79,17.43,51.46,48.54,4056609.0,80.26,3926252.0,77.68,3389617.0,67.06,884210.0,17.49,94.33,91.27,78.7,5054253,22491.0,0.44,71969.0,1.42,1318507.0,26.09,271640.0,5.37,107302.0,2.12,2564.0,0.05,228050.0,4.51,3303370.0,65.36,0.57,0.4,0.44,0.62,0.54,0.6,0.02,0.37,0.08
040US13,13,,,,2791,205,,,251.0,0.0,96.0,84.0,292.0,,208.0,10.0,1.0,False,5/13/2011,1.0,7/1/2011,1.0,7/1/2011,1.0,11/27/2019,1.0,5/1/2013,1.0,16334064,,,11019466,16001285000,4925933,11399940300,4601344600,17009307,20.73,26.89,11.05,94.28,13.47,16.33,51.2,48.8,8582918.0,79.31,8280518.0,76.51,7120517.0,65.79,1581263.0,14.61,95.32,92.35,78.77,10822590,42058.0,0.39,472915.0,4.37,3391689.0,31.34,1158299.0,10.7,448586.0,4.14,7338.0,0.07,782473.0,7.23,5677531.0,52.46,0.47,0.34,0.34,0.54,0.54,0.59,0.04,0.35,0.11
040US05,5,,,,,93,,,115.0,,21.0,42.0,135.0,,94.0,,,True,3/11/2011,1.0,3/1/2013,1.0,7/27/2011,1.0,8/1/2017,1.0,5/1/2013,1.0,3157416,2329491100,277126900,2021444,8580718900,1169065,4562147600,1411953400,9560992,15.88,34.39,11.44,96.75,9.23,17.82,50.67,49.33,2409758.0,79.46,2326772.0,76.72,2022491.0,66.69,525644.0,17.33,97.35,94.85,81.21,3032651,16893.0,0.56,47309.0,1.56,452127.0,14.91,265833.0,8.77,91871.0,3.03,12040.0,0.4,263525.0,8.69,2148886.0,70.86,0.56,0.42,0.38,0.68,0.66,0.68,0.02,0.21,0.1
040US42,42,,,,3445,328,,,357.0,0.0,97.0,114.0,432.0,36.0,318.0,22.0,25.0,True,1/1/1972,1.0,1/1/1990,1.0,1/1/2002,1.0,6/30/2015,1.0,8/1/2016,1.0,21881954,7083684700,787076100,13300000,42091155800,6038600,19543836300,14676558800,45984436,20.57,33.21,8.09,95.28,13.92,12.87,50.71,49.29,10628282.0,81.84,10312707.0,79.41,8953305.0,68.94,2476241.0,19.07,97.2,94.85,80.64,12986518,23921.0,0.18,480439.0,3.7,1393616.0,10.73,1087732.0,8.38,445130.0,3.43,4614.0,0.04,794713.0,6.12,9844085.0,75.8,0.47,0.55,0.4,0.82,0.74,0.78,0.04,0.13,0.1
040US29,29,,,,1654,110,,,163.0,0.0,40.0,60.0,197.0,,137.0,1.0,4.0,True,8/28/2021,1.0,7/1/2017,1.0,12/13/2023,0.05,,0.0,12/13/2023,0.05,10609704,2530045500,281864300,8744584,15469211600,3227721,9585913300,3071388400,12422350,19.55,30.34,8.41,97.79,12.34,17.39,50.7,49.3,4945676.0,80.18,4781610.0,77.52,4168915.0,67.59,1079129.0,17.5,97.22,94.77,81.16,6168181,16830.0,0.27,127846.0,2.07,686616.0,11.13,311924.0,5.06,106663.0,1.73,9681.0,0.16,388899.0,6.3,4831646.0,78.33,0.48,0.44,0.33,0.83,0.84,0.86,0.02,0.07,0.06
040US08,8,,,,,289,11,,331.0,4.0,36.0,112.0,388.0,101.0,276.0,20.0,7.0,True,6/3/2005,1.0,6/1/2005,1.0,6/3/2005,1.0,5/21/2018,1.0,2/1/2008,1.0,8814323,2914745700,332704000,5708993,12872653900,3912290,5293192500,4332011800,14272632,27.68,20.08,7.24,94.5,17.05,16.87,49.36,50.64,4717446.0,81.18,4569892.0,78.65,3992646.0,68.71,882557.0,15.19,102.59,101.7,86.11,5810774,58576.0,1.01,187534.0,3.23,232985.0,4.01,1291078.0,22.22,315713.0,5.43,8647.0,0.15,738535.0,12.71,4268784.0,73.46,0.37,0.43,0.23,0.62,0.6,0.68,0.02,0.03,0.25
