deso,year,Quartile 1,Quartile 2,Quartile 3,Quartile 4,Median value,Mean value,total
0114A0010,2022,15,17,29,40,351.5,609.0,843
0114C1010,2022,11,16,30,43,372.3,441.8,1542
0114C1020,2022,9,20,34,37,359.9,382.8,1591
0114C1030,2022,10,27,28,35,334.6,371.6,2284
0114C1040,2022,28,34,24,14,265.6,284.5,2243
0114C1050,2022,4,13,30,52,405.6,455.9,2060
0114C1060,2022,24,30,26,19,276.1,310.9,3044
0114C1070,2022,12,20,31,37,354.8,395.4,1623
0114C1080,2022,39,32,22,8,240.9,253.8,2388
0114C1090,2022,42,29,18,11,237.4,269.4,2842
0114C1100,2022,18,21,32,29,323.1,348.8,1746
0114C1110,2022,19,23,32,26,312.4,341.4,2146
0114C1120,2022,22,23,29,26,308.3,344.4,2146
0114C1130,2022,27,30,27,16,270.2,289.6,1974
0114C1140,2022,10,22,35,33,340.2,393.7,3207
0114C1150,2022,21,26,27,26,300.2,338.4,2499
0114C1160,2022,22,23,29,27,314.0,336.0,1943
0114C1170,2022,27,25,27,20,283.0,308.6,1638
0114C1180,2022,20,29,26,24,292.4,334.1,1037
0114C1190,2022,21,24,30,24,303.7,330.6,1974
0114C1200,2022,38,33,20,9,238.9,257.8,2610
0114C1210,2022,42,30,17,11,232.7,260.2,2449
0114C1220,2022,22,22,27,29,310.9,369.8,1623
0115A0010,2022,12,19,28,41,364.5,435.5,2080
0115A0020,2022,12,21,33,34,329.5,437.4,1202
0115A0030,2022,11,19,30,40,354.0,410.1,1239
0115A0040,2022,14,26,28,31,322.4,383.1,1467
0115B2010,2022,10,19,34,38,351.0,376.9,1419
0115B3010,2022,16,22,33,29,325.0,361.0,1151
0115C1010,2022,5,14,27,54,411.0,477.9,2595
0115C1020,2022,8,16,34,41,372.8,405.3,2330
0115C1030,2022,14,24,32,30,329.4,353.0,1275
0115C1040,2022,6,17,29,48,384.2,445.2,2094
0115C1050,2022,6,15,33,45,382.5,451.1,2700
0115C1060,2022,28,27,25,19,271.8,347.6,2114
0115C1070,2022,26,32,25,17,268.4,302.8,2307
