"","HEROP_ID","FIPS","SviSmryRnk","SviTh1","SviTh2","SviTh3","SviTh4","EssnWrkP","HghRskP","HltCrP","RetailP","TotWrkE","GiniCoeff","MedInc","PciE","PovP","UnempP","LngTermP","MobileP","RentalP","TotUnits","UnitDens","VacantP","FqhcAvTmDr","FqhcCtTmDr","FqhcTmDrP","TotTracts","OpRxRt","BachelorsP","EduHsP","EduNoHsP","EngProf","GradSclP","SomeCollegeP","CrowdHsng","DivrcdP","FamSize","HHSize","HhldFA","HhldFC","HhldFS","HhldMA","HhldMC","HhldMS","HsdTot","HsdTypCo","HsdTypM","HsdTypMC","MrrdP","NonRelFhhP","NonRelNfhhP","NvMrrdP","OccupantP","SepartedP","TotPopHh","WidwdP","DisbP","FemP","MaleP","MedAge","Ovr16","Ovr16P","Ovr18","Ovr18P","Ovr21","Ovr21P","Ovr62P","Ovr65","Ovr65P","SRatio","SRatio18","SRatio65","TotPop","Und18P","AmIndE","AmIndP","AsianE","BlackE","BlackP","HisE","HisP","OtherE","OtherP","PacIsE","PacIsP","TwoRaceE","TwoRaceP","WhiteE","WhiteP","DsmAs","DsmBlk","DsmHsp","IntrAsWht","IntrBlkWht","IntrHspWht","IsoAs","IsoBlk","IsoHsp","TotVetPop","VetP","StateAbbr","StateDesc","CountyName","StateFIPS","CountyFIPS","TotalPopulation","TotalPop18plus","FOODSTAMP_CrudePrev","FOODSTAMP_Crude95ci","FOODSTAMP_AdjPrev","FOODSTAMP_Adj95CI"
"1","050US37083",37083,0.987,0.9844,0.9007,0.9332,0.936,57.3,25.9,15.7,10.6,18108,0.4891,37991,26951,25.2,8.7,26.8,24.7,86.6,24849,34.3,18.4,4.29,16,100,16,47.9,10.2,36.4,19.1,0.004,5.2,20.3,0.02,8.6,2.95,2.32,19.1,10,11.8,13.5,1.1,5.3,20269,6.2,38.8,9.5,44.4,6.8,1.1,40.7,81.6,1.7,47017,4.5,20.9,51.4,48.6,43.8,39315,81.5,37968,78.7,33485,75.6,26.3,10426,21.6,94.6,91.9,74.7,48219,21.3,1424,3,446,25038,51.9,1558,3.2,776,1.6,24,0,2574,5.3,17937,37.2,0.69,0.4,0.35,0.34,0.3,0.43,0.04,0.6,0.07,37942,6.1,"NC","North Carolina","Halifax",37,83,"47,298","37,177",27.8,"(23.8, 31.9)",29.4,"(25.1, 34.0)"
"2","050US37179",37179,0.2008,0.2221,0.3786,0.6701,0.0932,38.5,22.6,10.8,11.7,123262,0.4455,51241,45355,7.7,4.2,13.1,4.8,51.5,86730,137.1,5.2,16.62,48,100,48,23.1,25.6,22.8,9.6,0.027,13.4,19.5,0.03,6.5,3.33,2.95,9.7,3.8,5,7.3,1.1,2.2,82231,4.5,65.7,30.8,61.1,6.4,1.9,29.5,94.8,1.4,242316,1.5,9.2,50.3,49.7,39.1,190283,77.7,181266,74,150881,69.5,16.5,32401,13.2,98.7,96.4,81.5,244975,26,1086,0.4,10002,27397,11.2,31683,12.9,14837,6.1,58,0,17450,7.1,174145,71.1,0.45,0.36,0.39,0.69,0.6,0.57,0.1,0.17,0.22,181172,6.4,"NC","North Carolina","Union",37,179,"256,452","191,719",8.5,"( 6.6, 10.6)",8.7,"( 6.9, 11.0)"
"3","050US37129",37129,0.4289,0.5638,0.0824,0.5797,0.4989,40.5,15.5,14.2,11.7,119132,0.4801,44816,46083,12.4,4.7,11.7,2.7,79,117236,609.7,12.7,9,54,100,54,76.6,29.1,18,6.5,0.015,15.7,19.7,0.01,7.9,2.85,2.2,19.7,3.8,9.3,13.8,0.7,3.8,102376,8.1,43.4,15,49.4,3.9,4,38.3,87.3,2.1,224956,2.3,11.8,52.3,47.7,40.1,193627,83.7,189042,81.8,163335,76.8,22.4,43240,18.7,91.3,88.7,77.7,231214,18.2,487,0.2,3204,26060,11.3,17675,7.6,8813,3.8,38,0,13627,5.9,178985,77.4,0.43,0.53,0.41,0.79,0.56,0.66,0.03,0.29,0.15,188258,6.9,"NC","North Carolina","New Hanover",37,129,"238,852","197,058",9,"( 6.8, 11.6)",9.6,"( 7.3, 12.5)"
"4","050US37163",37163,0.9459,0.93,0.8702,0.8721,0.867,56.8,32.9,15.6,13,24859,0.452,37968,26978,20.2,5.2,25.4,34,78.5,25739,27.2,17.2,6.65,20,100,20,30.2,11.4,35.7,15.7,0.053,4.4,20.9,0.04,9.9,3.28,2.71,15.7,6.1,9.8,11.9,1.3,3.6,21321,6.1,48.2,14.8,48.1,9.6,2.6,35.4,82.8,2,57842,4.5,14.6,50.1,49.9,39.7,46618,78.7,44755,75.5,38759,72.1,21.8,10636,18,99.7,97.7,77.7,59245,24.5,1288,2.2,289,14768,24.9,12600,21.3,8816,14.9,0,0,2545,4.3,31539,53.2,0.58,0.33,0.33,0.5,0.43,0.44,0.03,0.32,0.28,44570,7.1,"NC","North Carolina","Sampson",37,163,"59,601","44,966",19,"(16.0, 22.3)",19.8,"(16.6, 23.4)"
"5","050US37031",37031,0.3888,0.4547,0.2558,0.4057,0.4432,46.8,16.7,12.1,13.1,30470,0.4628,41628,42707,10,4.3,18.3,16.8,52,51615,101.7,39.6,31.04,20,64.52,31,52.4,20.2,23.6,7.3,0.004,12.1,25.5,0.01,10.4,2.69,2.16,17,2.7,10,13.2,0.7,5.4,31198,5.1,52.8,14.8,58.8,4.3,1.6,25.5,60.4,1.3,67436,4,17.6,51.1,48.9,50.1,58516,85.2,56945,82.9,50406,80.2,32.9,18051,26.3,95.8,94.2,87.3,68652,17.1,188,0.3,603,2998,4.4,3230,4.7,1427,2.1,15,0,3871,5.6,59550,86.7,0.54,0.59,0.37,0.82,0.76,0.81,0.03,0.13,0.1,56268,12,"NC","North Carolina","Carteret",37,31,"69,615","58,070",7.8,"( 5.9, 10.1)",8.7,"( 6.5, 11.4)"
"6","050US37183",37183,0.3621,0.2526,0.3229,0.7989,0.4257,30.8,16.1,11.8,9.3,611492,0.4486,58520,52949,7.9,4.2,10.6,2.7,79.2,481999,577.5,7.5,9.85,230,100,230,35.8,33.8,14.5,6.1,0.027,22.5,15.2,0.02,7.1,3.13,2.54,15.2,4.6,5.8,11.5,1.2,2.2,445636,6.7,51,23.6,54.3,4.9,3.3,35.5,92.5,1.4,1129867,1.7,9,51,49,37.2,914290,79.4,881746,76.6,758522,72.8,15.6,144054,12.5,96,93.6,78,1151009,23.4,3325,0.3,93193,221985,19.3,131104,11.4,55569,4.8,383,0,92986,8.1,683568,59.4,0.53,0.46,0.43,0.5,0.42,0.46,0.25,0.33,0.19,880615,5.7,"NC","North Carolina","Wake",37,183,"1,190,275","919,538",7.4,"( 5.7,  9.4)",7.4,"( 5.7,  9.4)"
"7","050US37119",37119,0.6115,0.5787,0.4747,0.8915,0.5135,35.7,16.3,11.5,10.3,616325,0.4935,51889,51490,10.4,4.2,10.1,1.5,98.6,491721,939.1,7.4,11.08,305,100,305,45,31.3,16.4,9.2,0.055,17.3,17.6,0.02,7.7,3.19,2.45,18.7,6,5.7,14.4,1.4,2.2,455494,7.3,41.5,17.9,47.4,6.2,3.7,41.8,92.6,1.6,1115618,1.6,8.3,51.7,48.3,35.4,898405,79.4,870043,76.9,755280,73.3,14.7,132281,11.7,93.5,90.7,74.2,1130906,23.1,4355,0.4,69579,344569,30.5,174580,15.4,88166,7.8,434,0,97368,8.6,526435,46.5,0.45,0.56,0.54,0.42,0.27,0.3,0.12,0.46,0.27,868562,5.3,"NC","North Carolina","Mecklenburg",37,119,"1,163,701","901,633",10.8,"( 8.5, 13.4)",10.7,"( 8.4, 13.4)"
"8","050US37087",37087,0.3646,0.5266,0.5441,0.2323,0.1702,49.7,21.2,15.1,11.1,28279,0.4286,40926,35580,11.3,3.4,23,16.7,51.9,35307,63.8,24.2,13.09,20,95.24,21,52.7,17.9,27.5,8.4,0.006,11.5,21.8,0.01,10.6,2.85,2.31,18,4,10.9,12.6,0.7,5.8,26772,6.2,49.9,12.4,55.3,6.9,2.6,28.9,75.8,1.6,61852,3.6,17.3,51.2,48.8,47.8,52795,84.6,51297,82.2,45492,79.7,30.6,15827,25.4,95.3,91.9,83.7,62432,17.8,361,0.6,255,624,1,2953,4.7,568,0.9,0,0,3271,5.2,57353,91.9,0.53,0.56,0.33,0.9,0.88,0.88,0.01,0.03,0.08,51235,9.7,"NC","North Carolina","Haywood",37,87,"62,969","52,105",9.3,"( 6.9, 12.2)",10.2,"( 7.5, 13.4)"
"9","050US37141",37141,0.5606,0.5294,0.4671,0.6204,0.573,50.1,24.6,12.3,12.6,28768,0.4343,43280,38296,10.7,6,13.3,22.8,46.6,31007,35.6,22.1,19.4,12,80,15,16.7,19.7,27.7,9.5,0.016,10.1,21.7,0.02,11.7,3.14,2.58,14.6,3.9,8.6,12.9,1.2,4.6,24152,7.5,52.3,20.3,52.3,6.4,2.6,29.9,77.9,2.3,62302,3.8,15.3,49.4,50.6,41.8,51050,80.4,49206,77.5,42622,73.8,22.4,11449,18,102.5,100,87.4,63475,22.5,209,0.3,437,7847,12.4,5402,8.5,3429,5.4,41,0.1,3432,5.4,48080,75.7,0.45,0.43,0.43,0.79,0.63,0.66,0.01,0.22,0.14,48722,9.7,"NC","North Carolina","Pender",37,141,"68,521","53,105",10.3,"( 8.1, 12.8)",10.5,"( 8.3, 13.1)"
"10","050US37021",37021,0.5994,0.5094,0.3691,0.4839,0.8409,46,19,16.5,11.7,131490,0.4759,40753,40879,11.8,3.5,17.2,12.1,84.4,132191,201.4,22.3,9.9,64,98.46,65,73.5,26.5,22.7,7.7,0.026,18.2,16.3,0.02,10.7,3.21,2.58,17.4,3.9,9.3,13.5,1.3,4.4,102672,6.4,46.9,14.9,46.1,7.4,7,38.9,77.7,1.2,264577,3.1,13.8,51.7,48.3,42.4,228572,84.1,222651,81.9,195569,78.3,24.7,56572,20.8,93.5,91.1,78.6,271790,18.1,565,0.2,3144,14702,5.4,22443,8.3,5800,2.1,95,0,21549,7.9,225935,83.1,0.45,0.51,0.44,0.8,0.72,0.72,0.03,0.14,0.17,222364,6.7,"NC","North Carolina","Buncombe",37,21,"275,901","227,608",9.1,"( 6.8, 11.9)",9.6,"( 7.0, 12.8)"
